Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjects,subjectTerms,FindACopy,Database
U.S. News: Clean-Coal Project Advances With $1 Billion in Funding,"The Obama administration Thursday awarded $1 billion to an Illinois project that aims to sharply reduce greenhouse-gas emissions from coal-fired power plants, the latest in a long-running saga aimed at proving coal's viability amid widespread pressure to combat climate change.",737965242,Newspapers,"Hughes, Siobhan;Power, Stephen",,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Aug 6, 2010",0099-9660, English, English, A.6," New York, N.Y.","Aug 6, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/737965242?accountid=14902, A.6,," Coal-fired power plants , Emissions , Natural gas , Awards & honors , Alliances , Industrial plant emissions",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Clean-Coal+Project+Advances+With+%241+Billion+in+Funding&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-08-06&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Hughes%2C+Siobhan%3BPower%2C+Stephen&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
World News: China Improves Energy Record,"According to investment bank UBS, heavy industry accounts for 56% of China's energy consumption, and only 28% of GDP.",734779487,Newspapers,"Oster, Shai",,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Aug 4, 2010",0099-9660, English, English, A.11," New York, N.Y.","Aug 4, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/734779487?accountid=14902, A.11,," Energy policy , Energy consumption , Emission standards , Energy efficiency , China",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+China+Improves+Energy+Record&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-08-04&amp;volume=&amp;issue=&amp;spage=A.11&amp;au=Oster%2C+Shai&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
The Death of Cap and Tax,"[...] the bill went down for lack of Democratic votes, in particular those from Midwest coal and manufacturing states.",734577205,Newspapers,Anonymous,,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", Editorial," Aug 2, 2010",0099-9660, English, English, A.12," New York, N.Y.","Aug 2, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/734577205?accountid=14902, A.12,," Natural gas vehicles , Energy policy , Federal legislation , Editorials -- Energy policy , United States--US , Reid, Harry , Obama, Barack",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Death+of+Cap+and+Tax&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-08-02&amp;volume=&amp;issue=&amp;spage=A.12&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
World News: Australia Reaffirms Its Green Initiatives,"Australian Prime Minister Julia Gillard reaffirmed her center-left Labor government's commitment to curbing greenhouse-gas emissions, unveiling some interim green measures before a carbon cap-and-trade program is in place.",658989724,Newspapers,"Pannett, Rachel",,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jul 24, 2010",0099-9660, English, English, A.8," New York, N.Y.","Jul 24, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/658989724?accountid=14902, A.8,," Emissions trading , Environmental policy , Electricity generation , Climate change , Emissions control , Australia , Rudd, Kevin , Gillard, Julia",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+Australia+Reaffirms+Its+Green+Initiatives&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-07-24&amp;volume=&amp;issue=&amp;spage=A.8&amp;au=Pannett%2C+Rachel&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"U.S. News: Senate Halts Effort to Cap Emissions --- Democrats Forgo Centerpiece of President Obama's Energy Plan, as Cap-and-Trade Fails to Lure Broad Political Support","Advocates of the cap-and-trade approach say that making it more expensive to burn coal or oil would encourage investments in new technology that reduces greenhouse-gas emissions and energy consumption, resulting in lower energy costs overall and avoiding the potential long-term toll of climate disruptions on the economy.",643603834,Newspapers,"Power, Stephen",," Environmental Protection Agency--EPA
924110"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jul 23, 2010",0099-9660, English, English, A.3," New York, N.Y.","Jul 23, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/643603834?accountid=14902, A.3,," Environmental protection , Energy policy , Greenhouse gases , Costs , Natural gas , Competition , Water conservation , Industrial plant emissions , Emission standards , Federal legislation , United States--US , Reid, Harry",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Senate+Halts+Effort+to+Cap+Emissions+---+Democrats+Forgo+Centerpiece+of+President+Obama%27s+Energy+Plan%2C+as+Cap-and-Trade+Fails+to+Lure+Broad+Political+Support&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-07-23&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=Power%2C+Stephen&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"China Tops U.S. in Energy --- Asian Giant Emerges as No. 1 User of Power, Reshaping Oil Markets, Diplomacy","China's growing energy demands will present new challenges to U.S. foreign policy, as well as to international efforts to reduce emissions of greenhouse gases linked to climate change.",613728061,Newspapers,"Swartz, Spencer;Oster, Shai",," International Energy Agency
928120"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jul 20, 2010",0099-9660, English, English, A.1," New York, N.Y.","Jul 20, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/613728061?accountid=14902, A.1,," Fossil fuels , Economic growth , Recessions , Gross Domestic Product--GDP , Diplomacy , Energy policy , Petroleum industry , International trade , United States--US , China",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=China+Tops+U.S.+in+Energy+---+Asian+Giant+Emerges+as+No.+1+User+of+Power%2C+Reshaping+Oil+Markets%2C+Diplomacy&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-07-20&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Swartz%2C+Spencer%3BOster%2C+Shai&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"World News: Australia Vote to Test Strength of Labor's Hand --- Prime Minister Gillard and Opposition Rival Abbott Launch Campaigns for August Vote, Striking Populist Stances","[...] another poll taken over the weekend suggested the opposition may be gaining ground, as Labor continues to struggle with political baggage that includes a proposed tax on the resource industry, a retreat on climate-change legislation and the issue of a recent surge in asylum seekers from other countries.",613624041,Newspapers,"Pannett, Rachel;McFarland, Lyndal",," Labor Party-Australia
813940"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jul 19, 2010",0099-9660, English, English, A.13," New York, N.Y.","Jul 19, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/613624041?accountid=14902, A.13,," Politics , Polls & surveys , Political parties , Elections -- Australia , Australia , Gillard, Julia",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+Australia+Vote+to+Test+Strength+of+Labor%27s+Hand+---+Prime+Minister+Gillard+and+Opposition+Rival+Abbott+Launch+Campaigns+for+August+Vote%2C+Striking+Populist+Stances&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-07-19&amp;volume=&amp;issue=&amp;spage=A.13&amp;au=Pannett%2C+Rachel%3BMcFarland%2C+Lyndal&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
U.S. News: Governor Names Ally to Byrd Seat,"Minutes after Mr. Goodwin is sworn in as a senator Tuesday, he ""will make the 60th vote"" needed to ensure passage of a bill to extend unemployment benefits, said Sen. Jay Rockefeller (D., W.Va.).",613365798,Newspapers,"Maher, Kris",," Senate
921120"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jul 17, 2010",0099-9660, English, English, A.4," New York, N.Y.","Jul 17, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/613365798?accountid=14902, A.4,," Congressional elections , Political appointments , West Virginia , Byrd, Robert C , Manchin, Joe , Goodwin, Carte",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Governor+Names+Ally+to+Byrd+Seat&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-07-17&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Maher%2C+Kris&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Changes Choke Cap-and-Trade Market,"The collapse in the pioneering market where power producers trade permits that allow them to emit sulfur dioxide and other pollutants that cause acid rain comes as policy makers seek to establish a similar market to curb the emissions of carbon, a cause of climate change. [...] in 2008, in response to lawsuits filed by a handful of utilities and North Carolina, the U.S. Court of Appeals for the District of Columbia Circuit ruled that the EPA had overstepped its authority in expanding the markets and that parts of the new rules conflicted with existing Clean Air Act regulations.",607178359,Newspapers,"Peters, Mark",," Environmental Protection Agency--EPA
924110"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jul 12, 2010",0099-9660, English, English, C.1," New York, N.Y.","Jul 12, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/607178359?accountid=14902, C.1,," Coal-fired power plants , Emissions trading , Environmental regulations , Outdoor air quality , Industrial plant emissions , Federal court decisions , Emissions trading , Environmental regulations , Acid rain , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Changes+Choke+Cap-and-Trade+Market&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-07-12&amp;volume=&amp;issue=&amp;spage=C.1&amp;au=Peters%2C+Mark&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"It Will Kill U.S. Jobs, Won't Reduce Carbon Emissions","The decision therefore will do nothing to curtail the emission of greenhouse gases, or even allow U.S. companies the opportunity to export technologies to help reduce emissions, but merely provide those making it with a sort of mindless warm inner glow. Milton Catelin Chief Executive World Coal Institute London --- I presume President Obama has also placed a moratorium on further Export-Import Bank funding of equipment for the deep water drilling project for Petrobas in Brazil announced last year.",578416442,Newspapers,Anonymous,," Bucyrus International Inc
333131
333411"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jul 6, 2010",0099-9660, English, English, A.16," New York, N.Y.","Jul 6, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/578416442?accountid=14902, A.16,," Greenhouse gases , United States--US , Obama, Barack",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=It+Will+Kill+U.S.+Jobs%2C+Won%27t+Reduce+Carbon+Emissions&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-07-06&amp;volume=&amp;issue=&amp;spage=A.16&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"U.S. News: Smaller Oil Firms Might Exit Gulf, Browner Says",The White House's top energy adviser acknowledged that smaller oil firms might no longer be able to drill in the Gulf of Mexico as a result of legislation moving through Congress that would eliminate the cap on their liability for oil spills.,578423757,Newspapers,"Hughes, Siobhan",," BP PLC
211111
324110
447110"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jul 3, 2010",0099-9660, English, English, A.5," New York, N.Y.","Jul 3, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/578423757?accountid=14902, A.5,," Moratoriums , Small business , Federal legislation , Liability , Oil spills , Petroleum industry , Offshore drilling , United States--US , Gulf of Mexico , Browner, Carol",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Smaller+Oil+Firms+Might+Exit+Gulf%2C+Browner+Says&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-07-03&amp;volume=&amp;issue=&amp;spage=A.5&amp;au=Hughes%2C+Siobhan&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
U.S. News: Democrats Step Back on Carbon Cap,Some Democratic senators who attended a bipartisan White House meeting Mr. Obama convened to find a consensus on energy policy said there appeared to be support for a proposal to cap greenhouse-gas emissions from electric power utilities only.,527831407,Newspapers,"Meckler, Laura;Power, Stephen",,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jun 30, 2010",0099-9660, English, English, A.6," New York, N.Y.","Jun 30, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/527831407?accountid=14902, A.6,," Renewable resources , Fossil fuels , Meetings , Energy policy , Emissions control , United States--US , Obama, Barack",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Democrats+Step+Back+on+Carbon+Cap&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-06-30&amp;volume=&amp;issue=&amp;spage=A.6&amp;au=Meckler%2C+Laura%3BPower%2C+Stephen&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"World News: Australia Prime Minister Steps Down --- Rudd Resigns Ahead of Vote to Lead Ruling Party, Clearing Way for Nation's First Female Leader","Driving Mr. Rudd's reversal have been a decision to shelve a proposed carbon cap-and-trade system meant to fight climate change and a planned tax on ""super profits"" by Australia's mining companies -- a critical industry for the resource-rich country. The tax, which the government thought would win popular support by spreading the wealth from the booming mining sector, has instead backfired as the public worries it will damage Australia's credibility as an investment destination.",517287146,Newspapers,"Pannett, Rachel",," Labor Party-Australia
813940"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jun 24, 2010",0099-9660, English, English, A.15," New York, N.Y.","Jun 24, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/517287146?accountid=14902, A.15,," Prime ministers , Resignations , Economic conditions -- Australia , Australia , Rudd, Kevin , Gillard, Julia",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+Australia+Prime+Minister+Steps+Down+---+Rudd+Resigns+Ahead+of+Vote+to+Lead+Ruling+Party%2C+Clearing+Way+for+Nation%27s+First+Female+Leader&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-06-24&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Pannett%2C+Rachel&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
U.S. News: Left Widens Rift on Environment --- Liberals Clash With Obama and Each Other on Stance on Spill and Climate Change,"Liberal commentator Rachel Maddow, disappointed with the White House's response to the oil spill, dubbed herself the ""fake president"" on her Wednesday MSNBC show, sat before an Oval Office backdrop and delivered the address she wished the president had given, pledging a halt to all dangerous drilling and to deliver an energy bill to eventually end U.S. consumption of oil.",504609489,Newspapers,"Wallsten, Peter;Gray, Eliza",,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jun 19, 2010",0099-9660, English, English, A.4," New York, N.Y.","Jun 19, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/504609489?accountid=14902, A.4,," Offshore drilling , Politics , Oil spills , Energy policy , Environmental policy , Liberalism , United States--US , Obama, Barack",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Left+Widens+Rift+on+Environment+---+Liberals+Clash+With+Obama+and+Each+Other+on+Stance+on+Spill+and+Climate+Change&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-06-19&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Wallsten%2C+Peter%3BGray%2C+Eliza&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
The Gulf Oil Spill: Democrats Are Divided on Energy Bill --- Senators Wrestle With Competing Proposals After President Renews Call to Reduce Nation's Reliance on Fossil Fuels,"Senate Democrats are struggling with how to move forward on energy legislation, despite President Barack Obama's assertion this week that the Gulf oil spill underscores the need to reduce the nation's dependence on fossil fuels. Whatever emerges from the Senate is expected to include provisions responding directly to the oil spill, such as tougher regulations on the oil industry and higher liability caps.",502574476,Newspapers,"Meckler, Laura;Boles, Corey",," Democratic Party
813940"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jun 18, 2010",0099-9660, English, English, A.7," New York, N.Y.","Jun 18, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/502574476?accountid=14902, A.7,," Federal legislation , Energy policy , Oil spills , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Gulf+Oil+Spill%3A+Democrats+Are+Divided+on+Energy+Bill+---+Senators+Wrestle+With+Competing+Proposals+After+President+Renews+Call+to+Reduce+Nation%27s+Reliance+on+Fossil+Fuels&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-06-18&amp;volume=&amp;issue=&amp;spage=A.7&amp;au=Meckler%2C+Laura%3BBoles%2C+Corey&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
World News: Pollution Is Worsening in China,"Energy intensity is closely linked to reducing greenhouse gases because most of China's power comes from burning fossil fuels, like coal, which release carbon.",357035425,Newspapers,"Oster, Shai",,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jun 4, 2010",0099-9660, English, English, A.15," New York, N.Y.","Jun 4, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/357035425?accountid=14902, A.15,," Environmental regulations , Environmental protection , Energy policy , Fossil fuels , Recessions , Greenhouse gases , Market potential , Industrial plant emissions , Emission standards , Environmental economics",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+Pollution+Is+Worsening+in+China&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-06-04&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Oster%2C+Shai&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Corporate News: Mining Project Aims To Capture Methane,"Coal miner Consol Energy Inc. is working on a project to capture and destroy methane gas, a natural byproduct of coal mining that can trigger underground explosions and can add to greenhouse-gas emissions.",356963759,Newspapers,"Maher, Kris",," Consol Energy Inc
211111
212112
213113
237210"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Jun 2, 2010",0099-9660, English, English, B.7," New York, N.Y.","Jun 2, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/356963759?accountid=14902, B.7,," Coal mining , Greenhouse gases , Carbon offsets , Methane , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Corporate+News%3A+Mining+Project+Aims+To+Capture+Methane&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-06-02&amp;volume=&amp;issue=&amp;spage=B.7&amp;au=Maher%2C+Kris&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
U.S. News: Scientists' Report Reasserts Man's Role in Climate Change,"The new report also urges the U.S. to take bold steps to cut fossil-fuel use, calling for a carbon tax on such fuels -- mainly oil and coal -- or a cap-and-trade system, which offers monetary incentives to cut emissions of pollutants.",304262459,Newspapers,"Naik, Gautam",," National Academy of Sciences
541711"," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," May 20, 2010",0099-9660, English, English, A.9," New York, N.Y.","May 20, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/304262459?accountid=14902, A.9,," Studies , Global warming , Climate change , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Scientists%27+Report+Reasserts+Man%27s+Role+in+Climate+Change&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-05-20&amp;volume=&amp;issue=&amp;spage=A.9&amp;au=Naik%2C+Gautam&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Just Don't Call It a Climate Bill,"The bill would also subsidize loan guarantees to expand nuclear power, which is the GOP analogue to Democratic wind turbines and solar panels.",288117222,Newspapers,Anonymous,,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", Editorial," May 17, 2010",0099-9660, English, English, A.20," New York, N.Y.","May 17, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/288117222?accountid=14902, A.20,," Energy policy , Offshore drilling , Emissions trading , Editorials -- Emissions trading , United States--US , Kerry, John F",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Just+Don%27t+Call+It+a+Climate+Bill&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-05-17&amp;volume=&amp;issue=&amp;spage=A.20&amp;au=Anonymous&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Encore (A Special Report): Financing Your Future --- Fraud Alert: Scam artists increasingly are targeting people trying to repair their nest eggs; Here's what to watch for,"Life settlements, in which older adults sell their life-insurance policies to investors at a discount to face value, have drawn scrutiny for the industry's high fees, opaque nature and aggressive sales practices. [...] the economic turmoil of 2008 and 2009, a growing number of people had been selling their own life-insurance policies to investors in exchange for a lump-sum payment, according to data collected by Conning Research &amp; Consulting in Hartford, Conn.",276571671,Newspapers,"Greene, Kelly",,," (c) 2010 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", Feature," May 15, 2010",0099-9660, English, English, R.4," New York, N.Y.","May 15, 2010",Wall Street Journal,2010,https://search.proquest.com/docview/276571671?accountid=14902, R.4,," Accelerated death benefits , Reverse mortgages , Investments , Older people , Series & special reports , Securities fraud , Consumer protection",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Encore+%28A+Special+Report%29%3A+Financing+Your+Future+---+Fraud+Alert%3A+Scam+artists+increasingly+are+targeting+people+trying+to+repair+their+nest+eggs%3B+Here%27s+what+to+watch+for&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2010-05-15&amp;volume=&amp;issue=&amp;spage=R.4&amp;au=Greene%2C+Kelly&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
